Date       ,Open      ,High      ,Low       ,Close     ,Adj Close ,Volume
6/06/2024  ,31.57     ,47.5      ,31.280001 ,46.549999 ,46.549999 ,206685800
7/06/2024  ,37.689999 ,48        ,26.120001 ,28.219999 ,28.219999 ,279054400
10/06/2024 ,28.969999 ,29.34     ,23.059999 ,24.83     ,24.83     ,131572400
11/06/2024 ,24.4      ,30.92     ,22.790001 ,30.49     ,30.49     ,146914700
12/06/2024 ,29.17     ,33.700001 ,24.83     ,25.459999 ,25.459999 ,147986700
13/06/2024 ,26.559999 ,29.58     ,25.559999 ,29.120001 ,29.120001 ,107306600
14/06/2024 ,29.23     ,30.66     ,27.41     ,28.700001 ,28.700001 , 82874400
17/06/2024 ,28.549999 ,29.18     ,23.790001 ,25.219999 ,25.219999 , 90351900
18/06/2024 ,24.58     ,25.969999 ,23.610001 ,24.700001 ,24.700001 , 38079200
20/06/2024 ,24.25     ,25.93     ,23.65     ,25.59     ,25.59     , 36029300
21/06/2024 ,25.24     ,25.809999 ,23.51     ,23.93     ,23.93     , 28004000
24/06/2024 ,23.26     ,24.83     ,23.24     ,23.65     ,23.65     , 22162900
25/06/2024 ,23.6      ,24.969999 ,22.549999 ,24.93     ,24.93     , 27625600
26/06/2024 ,24.6      ,25.379999 ,24.040001 ,24.200001 ,24.200001 , 17903000
27/06/2024 ,24.1      ,26.690001 ,24.059999 ,25.09     ,25.09     , 34867000
28/06/2024 ,25.02     ,26.17     ,24.309999 ,24.690001 ,24.690001 , 20212000
1/07/2024  ,23.35     ,23.780001 ,22.309999 ,23.33     ,23.33     , 30689000
2/07/2024  ,23.24     ,24.32     ,23.1      ,23.98     ,23.98     , 13703500
3/07/2024  ,24.030001 ,24.889999 ,23.65     ,24.370001 ,24.370001 , 11829500
5/07/2024  ,24.18     ,25.08     ,23.82     ,24.18     ,24.18     , 11782100
8/07/2024  ,24.120001 ,25.139999 ,23.85     ,24.450001 ,24.450001 , 11815500
9/07/2024  ,24.6      ,25.18     ,24        ,24.6      ,24.6      ,  9419800
10/07/2024 ,25        ,26.450001 ,24.9      ,24.969999 ,24.969999 , 22325400
11/07/2024 ,25.440001 ,26.02     ,25.02     ,25.57     ,25.57     , 13032700
12/07/2024 ,25.76     ,26.889999 ,25.42     ,26.049999 ,26.049999 , 16238900
15/07/2024 ,25.98     ,27.200001 ,25.65     ,27        ,27        , 17136400
16/07/2024 ,27.75     ,28.83     ,27.370001 ,28.540001 ,28.540001 , 25594500
